Test losses: 1.104002
Test losses: 1.098663
Test losses: 1.114910
Test losses: 1.100693
Test losses: 1.100927
Test losses: 1.095586
Test losses: 2.682398
Test losses: 1.248638
Test losses: 1.102745
Test losses: 1.097877
Test losses: 1.102920
Test losses: 1.096698
Test losses: 1.115782
Test losses: 1.099009
Test losses: 1.103352
Test losses: 1.093409
Test losses: 1.100663
Test losses: 1.107706
Test losses: 1.097681
Test losses: 1.098472
Test losses: 0.608272
Test losses: 0.679032
Test losses: 0.737342
Test losses: 0.576087
Test losses: 0.479760
Test losses: 0.759940
Test losses: 0.786599
Test losses: 0.782315
Test losses: 0.899190
Test losses: 0.994436
Test losses: 0.564522
Test losses: 1.121820
Test losses: 0.773418
Test losses: 0.809952
Test losses: 1.007373
Test losses: 0.281173
Test losses: 0.366330
Test losses: 0.453693
Test losses: 0.692313
Test losses: 0.789288
Test losses: 1.106617
Test losses: 1.101437
Test losses: 1.106562
Test losses: 1.107008
Test losses: 1.105213
Test losses: 0.367949
Test losses: 0.797363
Test losses: 1.095159
Test losses: 1.105830
Test losses: 1.101222
Test losses: 1.106824
Test losses: 1.106613
Test losses: 1.105255
Test losses: 1.106460
Test losses: 1.108368
Test losses: 1.105839
Test losses: 0.999123
Test losses: 1.064891
Test losses: 1.107521
Test losses: 1.026732
Test losses: 3.883669
Test losses: 20.116718
Test losses: 1.500094
Test losses: 9.780062
Test losses: 14.660565
Test losses: 1.197098
Test losses: 5.539762
Test losses: 1.171985
Test losses: 2.916953
Test losses: 8.770659
Test losses: 1.084944
Test losses: 1.089820
Test losses: 1.636004
Test losses: 1.105893
Test losses: 10.165987
Test losses: 36.240089
Test losses: 14.029254
Test losses: 22.757029
Test losses: 40.431175
Test losses: 2.563260
Test losses: 1.081106
Test losses: 1.080829
Test losses: 1.080328
Test losses: 1.078663
Test losses: 1.076470
Test losses: 53.061939
Test losses: 1.083368
Test losses: 1.079904
Test losses: 1.082466
Test losses: 1.082549
Test losses: 1.082144
Test losses: 1.082208
Test losses: 1.079343
Test losses: 1.079755
Test losses: 1.080069
Test losses: 1.082391
Test losses: 1.080660
Test losses: 1.081496
Test losses: 1.080043
Test losses: 1.080316
Validation loss decreased (inf --> 3.391974).  Saving model ...
[E: 1] 	loss: 1.217816  	avg_loss: 1.217816
[E: 1] 	loss: 1.417853  	avg_loss: 1.317835
[E: 1] 	loss: 1.084571  	avg_loss: 1.240080
[E: 1] 	loss: 1.150360  	avg_loss: 1.217650
[E: 1] 	loss: 1.270742  	avg_loss: 1.228269
[E: 1] 	loss: 1.423836  	avg_loss: 1.260863
[E: 1] 	loss: 1.441339  	avg_loss: 1.286645
[E: 1] 	loss: 1.151318  	avg_loss: 1.269729
[E: 1] 	loss: 1.243245  	avg_loss: 1.266787
[E: 1] 	loss: 1.101103  	avg_loss: 1.250219
[E: 1] 	loss: 1.051388  	avg_loss: 1.232143
[E: 1] 	loss: 1.600066  	avg_loss: 1.262803
[E: 1] 	loss: 1.409409  	avg_loss: 1.274081
[E: 1] 	loss: 1.605746  	avg_loss: 1.297771
[E: 1] 	loss: 1.540589  	avg_loss: 1.313959
[E: 1] 	loss: 1.137862  	avg_loss: 1.302953
[E: 1] 	loss: 1.449540  	avg_loss: 1.311575
[E: 1] 	loss: 1.242310  	avg_loss: 1.307727
[E: 1] 	loss: 1.255758  	avg_loss: 1.304992
[E: 1] 	loss: 1.144513  	avg_loss: 1.296968
[E: 1] 	loss: 1.196075  	avg_loss: 1.292164
[E: 1] 	loss: 1.050219  	avg_loss: 1.281166
[E: 1] 	loss: 1.319640  	avg_loss: 1.282839
[E: 1] 	loss: 1.715333  	avg_loss: 1.300860
[E: 1] 	loss: 1.186074  	avg_loss: 1.296268
[E: 1] 	loss: 1.045853  	avg_loss: 1.286637
[E: 1] 	loss: 1.631255  	avg_loss: 1.299400
[E: 1] 	loss: 1.191213  	avg_loss: 1.295537
[E: 1] 	loss: 1.066228  	avg_loss: 1.287629
[E: 1] 	loss: 1.238075  	avg_loss: 1.285978
[E: 1] 	loss: 2.052921  	avg_loss: 1.310718
[E: 1] 	loss: 1.499729  	avg_loss: 1.316624
[E: 1] 	loss: 2.023061  	avg_loss: 1.338031
[E: 1] 	loss: 1.434963  	avg_loss: 1.340882
[E: 1] 	loss: 0.901689  	avg_loss: 1.328334
[E: 1] 	loss: 1.117411  	avg_loss: 1.322475
[E: 1] 	loss: 1.424103  	avg_loss: 1.325222
[E: 1] 	loss: 1.296354  	avg_loss: 1.324462
[E: 1] 	loss: 1.044278  	avg_loss: 1.317278
[E: 1] 	loss: 1.058474  	avg_loss: 1.310808
[E: 1] 	loss: 0.983575  	avg_loss: 1.302826
[E: 1] 	loss: 1.088721  	avg_loss: 1.297729
[E: 1] 	loss: 1.148136  	avg_loss: 1.294250
[E: 1] 	loss: 1.366064  	avg_loss: 1.295882
[E: 1] 	loss: 1.009009  	avg_loss: 1.289507
[E: 1] 	loss: 1.043623  	avg_loss: 1.284162
[E: 1] 	loss: 1.134455  	avg_loss: 1.280976
[E: 1] 	loss: 1.180197  	avg_loss: 1.278877
[E: 1] 	loss: 1.196022  	avg_loss: 1.277186
[E: 1] 	loss: 1.113007  	avg_loss: 1.273902
[E: 1] 	loss: 1.180554  	avg_loss: 1.272072
[E: 1] 	loss: 1.184573  	avg_loss: 1.270389
[E: 1] 	loss: 1.204687  	avg_loss: 1.269150
[E: 1] 	loss: 1.348117  	avg_loss: 1.270612
[E: 1] 	loss: 1.051778  	avg_loss: 1.266633
[E: 1] 	loss: 1.062633  	avg_loss: 1.262990
[E: 1] 	loss: 1.025795  	avg_loss: 1.258829
[E: 1] 	loss: 1.249477  	avg_loss: 1.258668
[E: 1] 	loss: 1.047505  	avg_loss: 1.255089
[E: 1] 	loss: 1.116724  	avg_loss: 1.252783
[E: 1] 	loss: 0.974118  	avg_loss: 1.248214
[E: 1] 	loss: 1.107456  	avg_loss: 1.245944
[E: 1] 	loss: 1.109883  	avg_loss: 1.243785
[E: 1] 	loss: 1.149659  	avg_loss: 1.242314
[E: 1] 	loss: 1.007807  	avg_loss: 1.238706
[E: 1] 	loss: 1.143726  	avg_loss: 1.237267
[E: 1] 	loss: 1.087502  	avg_loss: 1.235032
[E: 1] 	loss: 1.147783  	avg_loss: 1.233749
[E: 1] 	loss: 1.345714  	avg_loss: 1.235371
[E: 1] 	loss: 1.011662  	avg_loss: 1.232175
[E: 1] 	loss: 1.120257  	avg_loss: 1.230599
[E: 1] 	loss: 1.137516  	avg_loss: 1.229306
[E: 1] 	loss: 1.055129  	avg_loss: 1.226920
[E: 1] 	loss: 1.089159  	avg_loss: 1.225059
[E: 1] 	loss: 1.106523  	avg_loss: 1.223478
[E: 1] 	loss: 1.016507  	avg_loss: 1.220755
[E: 1] 	loss: 0.995622  	avg_loss: 1.217831
[E: 1] 	loss: 1.136432  	avg_loss: 1.216787
[E: 1] 	loss: 1.092734  	avg_loss: 1.215217
[E: 1] 	loss: 1.619245  	avg_loss: 1.220267
[E: 1] 	loss: 1.103629  	avg_loss: 1.218827
[E: 1] 	loss: 1.176667  	avg_loss: 1.218313
[E: 1] 	loss: 1.506714  	avg_loss: 1.221788
